,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.1,std_ncluster_0.1,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,10B_norm_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.00001,std_ncluster_0.00001
0,100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.5;0.95,2.142106045192232,0.3499388503128019,0.120128702889,0.20851807666094685,45.17,27.806712001299854,2.142106045192232,0.3481847598167719,97.0,0.5018396389,0.2396256118108175,0.5293855,0.0049,0.1172,0.0222,0.04189999999999999,0.8002038354870541,0.151014012708878,0.8320752536845275,0.1541886554499903,0.3572458134404998,0.20563899317275738,2.1421060451922322,0.3481847598167719,3.951448928214637,1.9867504327808325
1,100,1.0,0.2,0.5,0.5,0.0,1000000,0.05;0.5;0.95,4.472365249259983,2.2350497745213067,0.133867595366,0.21444744876251684,38.33,27.142740905044647,3.0941070437460634,0.8006123452129376,97.0,0.5050604182,0.2517038112808437,0.5177435,0.023699999999999995,0.17010000000000006,0.0812,0.06179999999999999,1.364345223764463,0.257029951859104,2.1789758865835243,0.415914223264296,0.6091030780685152,0.538511877958863,4.4676533416631585,2.2148575826015993,17.527503992867388,7.327790417002603
2,100,1.0,0.2,0.75,0.75,0.0,1000000,0.05;0.5;0.95,4.4388505765499096,2.1248900649528903,0.131987680822,0.21266454102308394,28.49,10.21634163307181,3.1203479606597373,0.8632711887942004,97.0,0.4969628046000001,0.2488611607987066,0.5011414999999999,0.0301,0.16430000000000006,0.0565,0.0705,1.381526453238063,0.2910404842807683,2.150896635373333,0.4959738880985485,0.6167735265555161,0.5315723746839611,4.440457265395631,2.1142184580484145,21.372123660536502,7.349328983196191
3,100,1.0,0.2,1.0,1.0,0.0,1000000,0.05;0.5;0.95,3.9785106078233254,1.6875771130457269,0.132391189128,0.21604554644084686,31.42,12.543403433557005,3.0195290889598927,0.8324958723211919,97.0,0.4970470638,0.25197607148030604,0.5141955,0.0368,0.1587,0.0589,0.07339999999999999,1.3663169353766236,0.2826597718386429,2.123831993193781,0.4351241100440363,0.6099833359322226,0.5248836217812168,3.9748554655251724,1.6731210512634342,24.035663295597125,7.503493176460125
4,100,1.0,0.2,1.25,1.25,0.0,1000000,0.05;0.5;0.95,4.188130107265675,1.6374703874071392,0.135711719996,0.2161297340106796,39.42,16.18090906537139,3.171632250451982,0.7611721495246248,97.0,0.5049008602,0.25404155676016354,0.5368935,0.0361,0.1492,0.06119999999999999,0.073,1.4294901904761923,0.26142983401046965,2.2198454612288843,0.3730790899022471,0.6381866260251688,0.548612380460596,4.187479206965299,1.6260573620867889,27.552726170739103,7.422182535561531
5,100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.5;0.95,4.3015544170405775,1.9159948467457488,0.13500891098200002,0.2170256543713341,47.33,20.55151448129182,3.1647394601870587,0.8682040372206642,97.0,0.5002393038000001,0.2543757595030889,0.48832250000000005,0.0369,0.1818,0.0747,0.07239999999999999,1.4017631487280375,0.28431217761962296,2.2071052242811087,0.4350617225868941,0.625808068032393,0.5454637596031414,4.301554417040578,1.9063908020730436,28.58719206418673,7.263671324417218
6,100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.4169300117395809,0.426495405544276,0.053520418891,0.149272351935487,35.81,34.899189594365,1.4169300117395816,0.42435757050024775,97.0,0.49803734310000003,0.12260843889869992,0.49454750000000003,0.0014000000000000002,0.5463,0.0051,0.0049,0.3523429037607357,0.30411413316646924,0.4022165751737181,0.3129574439552769,0.15730120462041722,0.09940376328927242,1.4169300117395816,0.42435757050024775,3.2414078293491944,1.8941837513771174
7,100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.9043864764640488,0.9868895984949272,0.06746380651000003,0.16211772226294804,31.49,17.973883972322316,1.6384982319107841,0.5762957784342063,97.0,0.4971146379999999,0.1515328494432718,0.499773,0.0057,0.4109,0.0209,0.0194,0.6096631532043604,0.4249286922630156,1.0419263900142663,0.6819155225004255,0.2721801613942844,0.25750158156235003,1.9043864764640495,0.9819427523136489,12.713454148671529,5.222062922548994
8,100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.8908931158820408,1.0224441009790173,0.06448974803999999,0.16103737270686866,33.56,15.21317876319108,1.6124845978388804,0.5916695320490905,97.0,0.5025973220000001,0.14154635286444064,0.5020735,0.0057,0.4795999999999999,0.0184,0.017200000000000003,0.581337023491209,0.4376455349916528,1.044902665402445,0.7009927050407742,0.25953414446431483,0.25823713795766373,1.8908427975333664,1.0172027542564903,14.35762187803234,5.121736784601575
9,100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.71131700193798,0.9633187436658036,0.05305394582,0.14666406530328538,48.05,20.154642044938328,1.5198647094522522,0.6362197540700093,97.0,0.50216258,0.1211711157782604,0.5156915000000001,0.0114,0.5618,0.010899999999999998,0.0227,0.519452970358215,0.4723339758815416,0.9991947335565468,0.6902041609023173,0.23190641022953035,0.24694088435178113,1.7103221434713256,0.9584286521954278,15.46468069285604,5.246344192885451
10,100,1.0,0.3,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.6486374337537315,1.0787182908764774,0.048351996339999995,0.14005684431405618,69.85,25.791853306222443,1.4293686739703717,0.5428460802709474,97.0,0.5029153009999999,0.11728629047594664,0.5175185,0.013000000000000001,0.6025,0.019000000000000003,0.02540000000000001,0.4859763933997651,0.4227272966920264,0.977238943822456,0.6377993566356895,0.21696100952491398,0.24151473272037713,1.6468124386352614,1.0737339558097045,17.082951945656962,5.792952423487175
11,100,1.0,0.3,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.893585159288972,1.2565711812204619,0.051749591568,0.1454473788871454,96.54,35.470978320738524,1.496294657025137,0.6370610335596094,97.0,0.4959430284,0.12185607854276773,0.495433,0.0136,0.6030000000000001,0.0241,0.0234,0.5357488216931703,0.4499102125643886,1.044016653043106,0.6914515851736995,0.23918158738775797,0.25801816895371094,1.888026022617179,1.2508649143291841,21.17419148447189,6.63524988924872
12,100,1.0,0.4,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0097597970332772,0.0155319743301884,0.002422317382,0.032887340830030684,18.33,20.551022978298324,1.0097597970332777,0.015454119331999968,97.0,0.5030654122,0.01952596103071704,0.5032234999999999,0.0020000000000000005,0.9952,0.0022,0.002600000000000001,0.03071029696162275,0.07019855944235516,0.09592564836410768,0.17903742311902274,0.013710412937944139,0.023707054934862883,1.0097597970332777,0.015454119331999968,2.886298474670159,1.120169957238876
13,100,1.0,0.4,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.0185840772517458,0.038625799311234575,0.004780723598,0.043593302828501226,27.18,12.502428047011788,1.0183586648868783,0.037508230741219895,97.0,0.4988060378,0.026085734949400214,0.498644,0.0031000000000000003,0.9791,0.0045000000000000005,0.0041,0.07715062033444645,0.16229597138182195,0.26978592971581444,0.28068598287166635,0.034443394165991084,0.06667486710279026,1.0185840772517465,0.03843218506287994,9.576092326601547,1.9945267561109028
