n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_entropy,std_entropy
100,1.0,0.1,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.0,1000000,[0.0],-0.39733885977407174,0.2846053235546389
100,1.0,0.1,1.5,1.5,0.0,1000000,[0.0],-0.43531389813721943,0.27185596655819416
100,1.0,0.2,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.2,1.25,1.25,0.0,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.0,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.0,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,1.25,1.25,0.0,1000000,[0.0],-inf,nan
100,1.0,0.5,1.5,1.5,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,0.0,0.0,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,0.5,0.5,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,0.75,0.75,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,1.0,1.0,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,1.25,1.25,0.0,1000000,[0.0],-inf,nan
100,1.0,1.0,1.5,1.5,0.0,1000000,[0.0],-inf,nan
100,1.0,0.1,0.0,0.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.1,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.1,1000000,[0.0],-inf,nan
100,1.0,0.1,1.5,1.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,0.0,0.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,1.25,1.25,0.1,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.1,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.1,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.1,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.1,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.1,1000000,[0.0],-6.921659394154799,0.1978265621002106
100,1.0,0.5,0.75,0.75,0.1,1000000,[0.0],-6.778280530786983,0.23996481817540088
100,1.0,0.5,1.0,1.0,0.1,1000000,[0.0],-6.651210856106391,0.2988291368614575
100,1.0,0.5,1.25,1.25,0.1,1000000,[0.0],-6.594089584238847,0.2956187152889954
100,1.0,0.5,1.5,1.5,0.1,1000000,[0.0],-6.540812722889248,0.2776655075124776
100,1.0,1.0,0.0,0.0,0.1,1000000,[0.0],-7.194727859467815,0.12114524935583601
100,1.0,1.0,0.5,0.5,0.1,1000000,[0.0],-6.9238227958410095,0.10503888999059238
100,1.0,1.0,0.75,0.75,0.1,1000000,[0.0],-6.853820338072153,0.1115629200829329
100,1.0,1.0,1.0,1.0,0.1,1000000,[0.0],-6.742850432651758,0.09832425497958666
100,1.0,1.0,1.25,1.25,0.1,1000000,[0.0],-6.661530972055607,0.12501444587780122
100,1.0,1.0,1.5,1.5,0.1,1000000,[0.0],-6.634787082166482,0.11038555827069634
100,1.0,0.1,0.0,0.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.2,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.2,1000000,[0.0],-inf,nan
100,1.0,0.1,1.5,1.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,0.0,0.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,1.25,1.25,0.2,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.2,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.2,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.2,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.2,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.2,1000000,[0.0],-6.651717577718752,0.30432012376660417
100,1.0,0.5,0.75,0.75,0.2,1000000,[0.0],-6.57830433199382,0.29584722158595056
100,1.0,0.5,1.0,1.0,0.2,1000000,[0.0],-6.522856293498771,0.30924372127627736
100,1.0,0.5,1.25,1.25,0.2,1000000,[0.0],-6.420061997874675,0.47093183057525945
100,1.0,0.5,1.5,1.5,0.2,1000000,[0.0],-6.479053549142077,0.3837598094116647
100,1.0,1.0,0.0,0.0,0.2,1000000,[0.0],-6.8984788203728105,0.10421569082761721
100,1.0,1.0,0.5,0.5,0.2,1000000,[0.0],-6.724646202770483,0.09981815909700491
100,1.0,1.0,0.75,0.75,0.2,1000000,[0.0],-6.6765140106681296,0.10963295735984735
100,1.0,1.0,1.0,1.0,0.2,1000000,[0.0],-6.633281758508892,0.11035903867160911
100,1.0,1.0,1.25,1.25,0.2,1000000,[0.0],-6.609269306964092,0.13322494532413245
100,1.0,1.0,1.5,1.5,0.2,1000000,[0.0],-6.624729874793866,0.15401622900607495
100,1.0,0.1,0.0,0.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.3,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.3,1000000,[0.0],-inf,nan
100,1.0,0.1,1.5,1.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.2,0.0,0.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.3,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.3,1000000,[0.0],-inf,nan
