n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter
100,1.0,0.1,0.0,0.0,0.1,1000000,0.05;0.5;0.95,4.33584811728071,0.5503267885717668,0.16829532802000002,0.2523175231346961,282.56,361.72712300178927
100,1.0,0.1,0.25,0.25,0.1,1000000,0.05;0.5;0.95,4.965696985615936,0.5458821869660238,0.17080664262,0.25198377437039465,161.35,36.84265616281369
100,1.0,0.1,0.5,0.5,0.1,1000000,0.05;0.5;0.95,5.11122395155792,0.609605672662577,0.17044290063,0.25121716172593933,113.63,20.596486412134777
100,1.0,0.1,0.75,0.75,0.1,1000000,0.05;0.5;0.95,5.284580651241162,0.5969614931303682,0.17044604298,0.25027564495645405,99.1,20.30450017293525
100,1.0,0.1,1.0,1.0,0.1,1000000,0.05;0.5;0.95,5.532513354550615,0.6011319880001859,0.16931923319,0.24797601980103137,89.49,15.683417866000893
100,1.0,0.1,1.25,1.25,0.1,1000000,0.05;0.5;0.95,5.636583201443947,0.7189268857854474,0.16912945549999997,0.24732154502506726,84.12,14.559720277033296
100,1.0,0.1,1.5,1.5,0.1,1000000,0.05;0.5;0.95,5.7987875694278515,0.6550215786240506,0.16703352917,0.24370566667754162,85.23,13.137851091907352
100,1.0,0.2,0.0,0.0,0.1,1000000,0.05;0.5;0.95,2.328088558040839,0.4326036045576963,0.15654365198999998,0.2709649698705568,1596.55,2236.129779644764
100,1.0,0.2,0.25,0.25,0.1,1000000,0.05;0.5;0.95,2.5555053113145005,0.41557477977722346,0.16970017614,0.28174288051755003,192.22,21.375233473826803
100,1.0,0.2,0.5,0.5,0.1,1000000,0.05;0.5;0.95,2.5096801325572713,0.402310829745315,0.16452726426999997,0.2752480643818383,146.28,18.787530788565935
100,1.0,0.2,0.75,0.75,0.1,1000000,0.05;0.5;0.95,2.5855059987475415,0.3830740585562116,0.16887444295999995,0.27906152162783915,128.11,16.480104319567833
100,1.0,0.2,1.0,1.0,0.1,1000000,0.05;0.5;0.95,2.6161795453757772,0.4267001649208054,0.16772979515999997,0.2768168282437306,124.24,18.818173034692723
100,1.0,0.2,1.25,1.25,0.1,1000000,0.05;0.5;0.95,2.788420876030021,0.33115094482246515,0.17681939863999996,0.28371561269782497,121.23,17.28948708424757
100,1.0,0.2,1.5,1.5,0.1,1000000,0.05;0.5;0.95,2.8733152054438342,0.3103782750986277,0.17790417762,0.2821868395527047,116.0,15.575816530957875
100,1.0,0.3,0.0,0.0,0.1,1000000,0.05;0.5;0.95,1.2321138701516756,0.29990011842713893,0.04169725886,0.15334745996446897,238729.08,330732.66270312737
100,1.0,0.3,0.25,0.25,0.1,1000000,0.05;0.5;0.95,1.2892851636518605,0.27205275047733773,0.05179199306999999,0.16710406042870946,4528.25,16251.689272490905
100,1.0,0.3,0.5,0.5,0.1,1000000,0.05;0.5;0.95,1.321132594285277,0.2733167186002867,0.054015263380000005,0.16311263395608566,208.52,347.18270100739164
100,1.0,0.3,0.75,0.75,0.1,1000000,0.05;0.5;0.95,1.3770235436269447,0.3049012227217604,0.06009464537,0.16980515237851534,145.53,120.0284019419041
100,1.0,0.3,1.0,1.0,0.1,1000000,0.05;0.5;0.95,1.3890520663288775,0.2859859122318083,0.06112673931,0.16547460785708734,118.16,45.04604154180319
100,1.0,0.3,1.25,1.25,0.1,1000000,0.05;0.5;0.95,1.4941743995557026,0.3401389687000679,0.07297732582,0.1780169538627819,110.89,24.29735613501015
100,1.0,0.3,1.5,1.5,0.1,1000000,0.05;0.5;0.95,1.5480284573004297,0.2994464285533865,0.08098821787,0.18725356087350215,114.86,23.323383159829145
100,1.0,0.4,0.0,0.0,0.1,1000000,0.05;0.5;0.95,1.0132495441904559,0.018832763993254082,0.007002942720000001,0.0478975755431498,556902.96,441673.9777072402
100,1.0,0.4,0.25,0.25,0.1,1000000,0.05;0.5;0.95,1.0183062344541332,0.027239316194260163,0.00890191144,0.055278574701835594,230068.25,422915.096648798
100,1.0,0.4,0.5,0.5,0.1,1000000,0.05;0.5;0.95,1.0198810531000286,0.03315912965608458,0.009734305250000002,0.0598229575562624,220056.48,416303.053696341
100,1.0,0.4,0.75,0.75,0.1,1000000,0.05;0.5;0.95,1.0237881294011115,0.04139593626793211,0.01004942642,0.061226018400847654,180056.12,386096.4942258352
100,1.0,0.4,1.0,1.0,0.1,1000000,0.05;0.5;0.95,1.0372361278690037,0.05863002749558331,0.00770558463,0.05755564407743844,130.55,370.37876804452725
100,1.0,0.4,1.25,1.25,0.1,1000000,0.05;0.5;0.95,1.0419982741612477,0.0637129773836026,0.008646924619999998,0.06096702311640242,74.74,22.65713703418547
100,1.0,0.4,1.5,1.5,0.1,1000000,0.05;0.5;0.95,1.0674843066503272,0.07909441133684508,0.01347366835,0.07611781930987199,79.06,16.06603796079095
100,1.0,0.1,0.0,0.0,0.0,1000000,0.05;0.5;0.95,4.309375062576061,0.5000432399320847,0.15467268732,0.23044287340203523,76.66,27.21341766500674
100,1.0,0.1,0.25,0.25,0.0,1000000,0.05;0.5;0.95,5.530106748554193,0.7691816380314481,0.158057354347,0.22997583954826062,110.87,59.03579722113823
100,1.0,0.1,0.5,0.5,0.0,1000000,0.05;0.5;0.95,5.864884465538296,0.35252336137799223,0.16005876279999998,0.23158200979547733,74.4,40.04122875237472
100,1.0,0.1,0.75,0.75,0.0,1000000,0.05;0.5;0.95,6.21076478572378,0.4707732901354284,0.1655643202,0.2388414933696592,25.6,13.903237033151667
100,1.0,0.1,1.0,1.0,0.0,1000000,0.05;0.5;0.95,6.098764436657733,0.7364448063665557,0.161805997832,0.23377427644034135,19.0,2.1213203435596424
100,1.0,0.1,1.25,1.25,0.0,1000000,0.05;0.5;0.95,5.950887887277649,0.7696459270681404,0.16413686353999998,0.2384503889223747,20.0,3.8078865529319543
100,1.0,0.1,1.5,1.5,0.0,1000000,0.05;0.5;0.95,6.159286797173159,1.0936025110476453,0.16189701124,0.2348489546506558,22.4,10.21273714534943
100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.5;0.95,2.246824965968643,0.32662584801813277,0.13287724732,0.22473639607351648,35.2,7.854934754662192
100,1.0,0.2,0.25,0.25,0.0,1000000,0.05;0.5;0.95,2.682036037574942,0.3749579544093457,0.1357833148,0.21514690655441948,56.4,35.592133962436144
100,1.0,0.2,0.5,0.5,0.0,1000000,0.05;0.5;0.95,2.286884864348798,0.2642685222550372,0.12876967520000002,0.21446464006712918,33.6,12.280065146407
100,1.0,0.2,0.75,0.75,0.0,1000000,0.05;0.5;0.95,2.622289691077939,0.5742625881796566,0.12472324480000001,0.2037675361137361,28.2,8.613942186943213
100,1.0,0.2,1.0,1.0,0.0,1000000,0.05;0.5;0.95,2.8749316467797237,0.2656980068600547,0.1401981508,0.21664069537179365,24.0,5.338539126015656
100,1.0,0.2,1.25,1.25,0.0,1000000,0.05;0.5;0.95,2.9580484825901427,0.41830603691494195,0.14051726048000002,0.21588854764689738,28.4,5.458937625582473
100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.5;0.95,2.673770951752048,0.5908889675115397,0.13447018400000002,0.21307987869036393,47.4,24.613004692641653
100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.5823132315913924,0.4819312903859787,0.0812639912,0.1908914537191133,43.2,41.54154546956577
100,1.0,0.3,0.25,0.25,0.0,1000000,0.05;0.5;0.95,1.6761369473116077,0.3730754978908155,0.09343229490000002,0.19253970662253914,37.8,17.383900597967074
100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.4100040388527395,0.38905855658483013,0.062493099999999996,0.15762073238725793,49.2,38.19947643620263
100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.2794869921097685,0.3706640325861896,0.040403143999999995,0.1311053438115273,35.0,9.137833441248533
100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.2598976687288435,0.385059865370403,0.040413873600000004,0.13263520112980112,63.0,21.319005605327842
100,1.0,0.3,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.6575102963092951,0.424817539196631,0.08739335440000001,0.18205880326718876,68.2,26.88308018066382
