,Unnamed: 0.1,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_avg_pwdist,avg_niter,std_niter,avg_ncluster_0.01,std_avg_ncluster_0.01,nruns,iqm_niter,std_iqm_niter,avg_opinion,avg_std_opinions,avg_median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,std_avg_opinion,std_avg_std_opinions,std_avg_median_opinion,std_avg_00_perc,std_avg_05_perc,std_avg_095_perc,std_avg_005_perc,100B_avg_entr,std_100B_norm_entr,100B_norm_entr,iqm_ncluster,std_iqm_ncluster,iqm_100B_entr,std_iqm_100B_entr,iqm_100B_norm_entr,iqm_pwdist,std_iqm_pwdist,std_iqm_100B_norm_entr
0,0,100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.5;0.95,2.142106045192232,0.3499388503128019,0.120128702889,0.20851807666094685,45.17,27.806712001299854,2.142106045192232,0.34818475981677194,576,35.42,4.064923123504306,0.5018396389,0.2396256118108175,0.5293855,0.0003,0.017300000000000003,0.0018,0.001,0.027436854806195482,0.02214082737110892,0.17148713337959207,0.001705872210923198,0.07635253761336293,0.008761278445523803,0.005385164807134504,0.8320752536845275,0.1541886554499903,0.20454596222774912,2.0350279943897696,0.07966271983779677,0.8013106018137526,0.08295518993970016,0.1980019472940304,0.23915305596000003,0.010304657696120625,0.1541886554499903
1,1,100,1.0,0.2,0.5,0.5,0.0,1000000,0.05;0.5;0.95,4.472365249259983,2.2350497745213067,0.133867595366,0.21444744876251684,38.33,27.142740905044647,4.467653341663159,2.2148575826016,576,30.87272727272727,5.954538514916147,0.5050604182000001,0.2517038112808437,0.5177435,0.0003,0.0183,0.008,0.004,0.026170511090019024,0.023524174136757642,0.13781323932318693,0.002215851980616034,0.04597945193235778,0.015684387141358124,0.011045361017187262,2.1789758865835243,0.4159142232642961,0.5356495309993589,3.8932881045978105,0.6460451490821502,2.1898076093225503,0.14358783585187898,0.5410962613794644,0.26995618766400004,0.01377296587866784,0.4159142232642961
2,2,100,1.0,0.2,0.75,0.75,0.0,1000000,0.05;0.5;0.95,4.4388505765499096,2.1248900649528903,0.131987680822,0.21266454102308394,28.49,10.21634163307181,4.44045726539563,2.1142184580484145,576,26.73076923076923,2.6465898567444266,0.4969628046000001,0.2488611607987065,0.5011414999999999,0.0002,0.021,0.0022,0.0052,0.028287236029575863,0.026740088201843617,0.13281468801585916,0.0019899748742132394,0.07108445681019164,0.006569627082262736,0.013151425778218878,2.150896635373333,0.4959738880985485,0.528746913198877,4.0604281903990485,0.6598222752318451,2.206777724391768,0.15654350108960655,0.5452895365238384,0.2713701448,0.014113079996465952,0.4959738880985485
3,3,100,1.0,0.2,1.0,1.0,0.0,1000000,0.05;0.5;0.95,3.9785106078233254,1.6875771130457269,0.132391189128,0.21604554644084686,31.42,12.543403433557005,3.974855465525173,1.6731210512634345,576,27.73584905660377,3.115093768213609,0.4970470638,0.25197607148030604,0.5141955,0.0013,0.0088,0.0071,0.0089,0.033590913482063424,0.026666792482853544,0.14886801958362314,0.005225897052181567,0.01767936650448765,0.014986327101728432,0.016241613220366997,2.123831993193781,0.4351241100440363,0.522093712959533,3.735935211607879,0.6598184207619753,2.1816713593020465,0.1708115098049758,0.5390858133158991,0.273027276944,0.015083567129272652,0.4351241100440363
4,4,100,1.0,0.2,1.25,1.25,0.0,1000000,0.05;0.5;0.95,4.188130107265675,1.6374703874071392,0.135711719996,0.2161297340106796,39.42,16.18090906537139,4.187479206965299,1.6260573620867889,576,35.46,5.872682521642048,0.5049008602,0.25404155676016354,0.5368935,0.0002,0.0193,0.0083,0.008600000000000002,0.02601463528537666,0.024342834564004386,0.12279529218479834,0.0019899748742132394,0.0771136174744772,0.015036954478883015,0.017607952748687167,2.2198454612288843,0.3730790899022471,0.5456963463981539,3.9712124800811366,0.456113209558365,2.2442692838296967,0.12822575166988034,0.5545536118511796,0.277711956144,0.013069389587435466,0.3730790899022471
5,5,100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.5;0.95,4.3015544170405775,1.9159948467457488,0.13500891098200002,0.2170256543713341,47.33,20.55151448129182,4.301554417040578,1.906390802073044,576,42.76470588235294,7.389946098914888,0.5002393038000001,0.2543757595030889,0.4883225000000001,0.0015,0.0141,0.0046,0.0068000000000000005,0.021499093267731948,0.02490916652446155,0.12523300850314986,0.005545268253204708,0.03614125067011378,0.011867602959317438,0.014062716664997556,2.2071052242811087,0.4350617225868941,0.5425644613745906,4.0058538463402416,0.6781928432783378,2.2575164683560582,0.15061275298775045,0.5578269596971284,0.275824530184,0.015723241456621774,0.4350617225868941
6,6,100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.4169300117395809,0.426495405544276,0.053520418891,0.149272351935487,35.81,34.899189594365,1.4169300117395816,0.42435757050024775,576,25.09433962264151,3.5462664445832632,0.49803734310000003,0.12260843889869995,0.4945475,0.0001,0.1634,0.0011,0.0003,0.02957521512219385,0.1005674834089464,0.1351685624276222,0.0009949874371066195,0.36229330659011627,0.007732399368889324,0.0022158519806160337,0.4022165751737181,0.3129574439552769,0.09887540343081808,1.2518950853556612,0.33943911023394474,0.40689409723139536,0.2483621631780139,0.10054256540710116,0.09363064596399999,0.08187557540375918,0.3129574439552769
7,7,100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.9043864764640488,0.9868895984949272,0.06746380651000003,0.16211772226294804,31.49,17.973883972322316,1.9043864764640488,0.9819427523136488,576,24.9344262295082,4.482639929367648,0.497114638,0.1515328494432718,0.499773,0.0002,0.06319999999999999,0.0013999999999999998,0.0015000000000000002,0.03054238138087396,0.08872029259415187,0.13160988781622754,0.0019899748742132394,0.2352057822418488,0.005295280917949491,0.0057227615711298,1.0419263900142663,0.6819155225004255,0.25613288590451944,1.6497273809035982,0.38274124909577817,1.0652450475866602,0.3551065397143576,0.2632195222302883,0.14268367024,0.061672557216592684,0.6819155225004255
8,8,100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.8908931158820408,1.0224441009790173,0.06448974803999999,0.16103737270686866,33.56,15.21317876319108,1.8908427975333664,1.0172027542564903,576,29.018867924528305,5.5235023276620545,0.5025973220000001,0.14154635286444064,0.5020735,0.0003,0.1197,0.0023,0.0013,0.03206564681571411,0.1002824364898134,0.14189860190555084,0.0022158519806160337,0.2961535243754495,0.0077272245987805984,0.0064272855856885676,1.044902665402445,0.7009927050407742,0.2568645326040625,1.4051172476477556,0.4887458754388918,1.0383887485811718,0.4001283593912697,0.25658339450633066,0.13013897991999998,0.0785762105796027,0.7009927050407742
9,9,100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.71131700193798,0.9633187436658036,0.05305394582,0.14666406530328538,48.05,20.154642044938328,1.7103221434713256,0.9584286521954278,576,44.58490566037736,8.612045014438944,0.50216258,0.1211711157782604,0.5156915,0.0,0.1444,0.0015000000000000002,0.0021,0.02763113826634364,0.09819678410753184,0.11385287612858094,0.0,0.3182210552430496,0.00804673846971554,0.006970652767137379,0.9991947335565468,0.6902041609023173,0.2456283218653589,1.3438543572467754,0.3549493817702394,0.9205063326429956,0.326356740474588,0.22745492939598286,0.08515935672000001,0.0721063925037758,0.6902041609023173
10,10,100,1.0,0.3,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.6486374337537315,1.0787182908764774,0.048351996339999995,0.14005684431405618,69.85,25.791853306222443,1.6468124386352614,1.0737339558097043,576,69.01923076923077,11.042732355256216,0.5029153009999999,0.11728629047594664,0.5175185,0.0,0.1422,0.0023,0.002,0.03155762088226708,0.09054138081422973,0.10555937633744338,0.0,0.32543687559955464,0.007855571271397134,0.00648074069840786,0.977238943822456,0.6377993566356895,0.24023101180506906,1.3027442872568191,0.2312691078956177,0.8848247268666233,0.278823197605435,0.21863808932135,0.07961644924000001,0.05685111224294844,0.6377993566356895
11,11,100,1.0,0.3,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.893585159288972,1.2565711812204619,0.051749591568,0.1454473788871454,96.54,35.470978320738524,1.8880260226171788,1.2508649143291841,576,98.58,14.752748896392154,0.4959430284,0.12185607854276773,0.4954329999999999,0.0004,0.17300000000000001,0.002,0.003200000000000001,0.02978436493407185,0.0947841506784465,0.10771451392918227,0.0028000000000000004,0.3530169967579465,0.00692820323027551,0.009368030742904295,1.044016653043106,0.6914515851736995,0.2566467274839317,1.4565231355902777,0.252159065104067,0.950463950229749,0.2904376089572408,0.234857385578443,0.08259952263999999,0.05610475485383931,0.6914515851736995
12,12,100,1.0,0.4,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0097597970332772,0.0155319743301884,0.002422317382,0.032887340830030684,18.33,20.551022978298324,1.0097597970332777,0.015454119331999968,576,14.323943661971828,0.46797880917848295,0.5030654122,0.01952596103071704,0.5032234999999999,0.0002,0.2767,0.0003,0.0005,0.02653713637444581,0.02657405826401898,0.02865508284318857,0.0014000000000000002,0.4414545389958064,0.002215851980616034,0.004092676385936226,0.09592564836410768,0.17903742311902274,0.02358104505580728,1.005993394485539,0.009227434452228098,0.0206321442359964,0.027013817917342937,0.005098153857357935,0.0023348122,0.003583897348784203,0.17903742311902274
13,13,100,1.0,0.4,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.0185840772517458,0.038625799311234575,0.004780723598,0.043593302828501226,27.18,12.502428047011788,1.0185840772517465,0.03843218506287994,576,23.0,2.8145281358428416,0.4988060378,0.026085734949400214,0.498644,0.0001,0.2575,0.0012,0.0001,0.02708529793041853,0.03525285664157553,0.032696214826796084,0.0009949874371066195,0.4248961637859301,0.005706137047074843,0.0009949874371066195,0.26978592971581444,0.28068598287166635,0.0663204708286535,1.005354206050892,0.008915560627250454,0.13571637419965374,0.1764759739175072,0.03353519385665458,0.004359153032,0.003685347167302625,0.28068598287166635
14,14,100,1.0,0.4,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.0183671046374858,0.04100335215055192,0.0043257993100000005,0.04029232642043981,34.77,16.898900209268888,1.0183671046374858,0.04079782026905788,576,30.19298245614036,4.936219863777532,0.5014318429999999,0.0219710639237134,0.5018845000000001,0.0,0.2630000000000001,0.0008,0.0012,0.03457254678213988,0.03405076848810023,0.03884529231129559,0.0,0.4268946005748959,0.004166533331199932,0.004749736834815168,0.3330973973099593,0.30380368278855274,0.08188409323149594,1.0020455654877978,0.006093931507098725,0.2058736433392208,0.23956918307017325,0.050870888498686026,0.003045697400000002,0.0023631181493006834,0.30380368278855274
15,15,100,1.0,0.4,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.0235434064746296,0.06343641816487113,0.004226453757999999,0.038042691105679136,30048.64,171438.01181182163,1.0235434064746298,0.06311843912908892,576,50.03703703703704,7.446010522577307,0.5026839734,0.019623786258546203,0.5038159999999999,0.0002,0.2629,0.0003,0.0009,0.02811623761413693,0.032863578982867604,0.0320316818790397,0.0019899748742132394,0.40345828780680654,0.002215851980616034,0.00471062628532555,0.4089876862358496,0.2991746940011211,0.10053992045787986,1.0023012611737725,0.006417910782367356,0.2980147710551905,0.25845840353692384,0.07363874240244657,0.002955740000000001,0.0011859341325857861,0.2991746940011211
16,16,100,1.0,0.4,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.1109559267845948,0.1879020950576306,0.009411421209999998,0.061697912335866335,10076.86,99992.24209766262,1.1089415012112842,0.1804169480597317,576,71.82,9.82789906338074,0.494683873,0.04121626269056013,0.4933505,0.0002,0.2463,0.0016,0.0005,0.02791816733107621,0.046866012407571454,0.03883839755641316,0.0019899748742132394,0.3989352203052521,0.005782732917920384,0.0032787192621510012,0.5011840100364497,0.3047031723968513,0.12320419953858527,1.0273048046418876,0.03732209658009762,0.544569621577636,0.14025239402540604,0.13456186061370362,0.01027332424,0.008618258004309034,0.3047031723968513
17,17,100,1.0,0.4,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.2634699152450388,0.2998295564891765,0.009455071056,0.061128608453999575,111.09,32.012022678356274,1.254589436035824,0.292823318662649,576,109.37254901960785,13.862010131111868,0.5001191389999999,0.042600886786253865,0.500854,0.0003,0.2461000000000001,0.0023000000000000004,0.0031000000000000003,0.027520950586901127,0.044847138688152745,0.03524975083599882,0.00298496231131986,0.3710118461720596,0.00798185442112295,0.008209141246196221,0.5502443105201686,0.30092251716169743,0.135264510580391,1.1088201276934158,0.14653029125932282,0.628371947191246,0.09041233600178372,0.15526921631535684,0.01252537966,0.009373503142127504,0.30092251716169743
18,18,100,1.0,0.5,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.00018728750000000048,0.0003261934529476631,12.43,0.7420283421851621,1.0,0.0,576,12.43529411764706,0.4957954707224818,0.5032643499999999,0.000364927032273593,0.5032734999999999,0.0,0.3556,0.0,0.0,0.02450103429260692,9.11423672941886e-05,0.024524796079682297,0.0,0.4655841921715126,0.0,0.0,0.07070079902289443,0.17660635289103366,0.01738011424131548,1.0,0.0,0.0,0.0,0.0,0.00037807680000000225,5.099440021963107e-05,0.17660635289103366
19,19,100,1.0,0.5,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.0012279585285957,0.007614878168666889,0.0010952993000000002,0.01332540711497755,20023.87,140701.86823105864,1.001227958528596,0.007576708112921024,576,20.245283018867926,1.810927630294616,0.49845075,0.0035811305495185063,0.4981065,0.0,0.2508,0.0,0.0,0.02846445270275717,0.012881827578309892,0.02907360973030353,0.0,0.3939433461806406,0.0,0.0,0.2697115294662096,0.2881115641312416,0.06630218129224676,1.0,0.0,0.15099157970898258,0.21528216719073706,0.037309660872712605,0.0014844144000000004,0.00026206080134320067,0.2881115641312416
20,20,100,1.0,0.5,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.00020199959192,0.0020199959192001684,0.0010079215199999998,0.005542632603005277,20036.02,140700.1241119954,1.00020199959192,0.0020098705626108064,576,30.72549019607843,5.175653530288726,0.5011148320000001,0.002199092951301636,0.5011709999999998,0.0,0.1975,0.0,0.0,0.03171220919157438,0.0051865828281379535,0.0318167465181467,0.0,0.3875599953555578,0.0,0.0,0.26832793323099025,0.2949768621951539,0.06596205698015548,1.0,0.0,0.14221333364340935,0.2191023377861396,0.03514057711059155,0.001810853200000001,0.0003654806171081582,0.2949768621951539
21,21,100,1.0,0.5,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.0217001107448405,0.08531577709146075,0.001324085149999999,0.009496425834762944,20052.52,140697.75698997368,1.0214467807402878,0.0838873426422546,576,49.764705882352935,8.97619561164934,0.501789505,0.0032861499417677635,0.5019440000000001,0.0,0.2667,0.0,0.0001,0.027736854736387727,0.0090075764497294,0.028141818775622867,0.0,0.4035023048261311,0.0,0.0009949874371066195,0.3587995694853805,0.2827013866561695,0.0882023625414952,1.0,0.0,0.25384944641531915,0.2496190648478065,0.06272559553807988,0.0022479967999999985,0.0004621292231462527,0.2827013866561695
22,22,100,1.0,0.5,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.070913505483976,0.17685011647390686,0.0015931549800000007,0.011119697299376868,20076.02,140694.3819231851,1.06636914784678,0.16976127250779138,576,75.39622641509433,10.318219135946642,0.501426286,0.0034808992617678565,0.50165,0.0,0.27490000000000003,0.0,0.0002,0.031701826844423395,0.010680310271795666,0.03222844240728987,0.0,0.4100621782120365,0.0,0.0019899748742132394,0.4325647304117677,0.28709076879045303,0.10633577746251296,1.0,0.0,0.3548181211071963,0.283473947554248,0.08767471534185836,0.002621285200000002,0.000513965506777413,0.28709076879045303
