,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster_0.01,std_ncluster_0.01,med_ncluster_0.01,Q1_ncluster_0.01,Q3_ncluster_0.01,iqm_ncluster,std_iqm_ncluster,avg_avg_opinion,std_avg_opinion,med_avg_opinion,Q1_avg_opinion,Q3_avg_opinion,avg_median_opinion,std_median_opinion,med_median_opinion,Q1_median_opinion,Q3_median_opinion,avg_std_opinions,std_std_opinions,med_std_opinions,Q1_std_opinions,Q3_std_opinions,avg_095_perc,std_095_perc,med_095_perc,Q1_095_perc,Q3_095_perc,avg_00_perc,std_00_perc,med_00_perc,Q1_00_perc,Q3_00_perc,avg_05_perc,std_05_perc,med_05_perc,Q1_05_perc,Q3_05_perc,avg_005_perc,std_005_perc,med_005_perc,Q1_005_perc,Q3_005_perc,avg_100B_norm_entr,std_100B_norm_entr,med_100B_norm_entr,Q1_100B_norm_entr,Q3_100B_norm_entr,avg_niter,std_niter,med_niter,Q1_niter,Q3_niter,avg_pwdist,std_pwdist,med_pwdist,Q1_pwdist,Q3_pwdist,iqm_pwdist,std_iqm_pwdist,iqm_niter,std_iqm_niter
0,100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.5;0.95,2.142106045192232,0.34818475981677194,2.01939434155266,1.9372336303758235,2.3159113298801692,2.0350279943897696,0.07966271983779677,0.5018396389,0.027436854806195482,0.5020564000000001,0.4824479,0.522521,0.5293855,0.17148713337959207,0.5278,0.36255,0.6914,0.2396256118108175,0.02214082737110892,0.2388874133748895,0.2252111438225882,0.2545683288936541,0.0018,0.008761278445523803,0.0,0.0,0.0,0.0003,0.001705872210923198,0.0,0.0,0.0,0.017300000000000003,0.07635253761336293,0.0,0.0,0.0,0.001,0.005385164807134504,0.0,0.0,0.0,0.18068284560171927,0.033481641117006265,0.1705613102118864,0.15049328166001547,0.2094721039279176,45.17,27.66732910853521,34.0,30.5,46.5,0.24025740577799998,0.2410346014861708,0.2967,0.0,0.4683000000000001,0.1412109404150948,0.1908600535986225,35.42,4.064923123504306
1,100,1.0,0.2,0.5,0.5,0.0,1000000,0.05;0.5;0.95,4.467653341663159,2.2148575826016,3.7994469437260334,2.9913254247091534,5.462584279445777,3.8932881045978105,0.6460451490821502,0.5050604182000001,0.026170511090019024,0.5027739,0.4867255,0.5229409199999999,0.5177435,0.13781323932318693,0.5017,0.424775,0.63305,0.2517038112808437,0.023524174136757642,0.25465797141238233,0.2350845262380911,0.27163743474461977,0.008,0.015684387141358124,0.0,0.0,0.02,0.0003,0.002215851980616034,0.0,0.0,0.0,0.0183,0.04597945193235778,0.0,0.0,0.02,0.004,0.011045361017187262,0.0,0.0,0.0,0.4731586018717353,0.09031462605438036,0.4750692822771859,0.4198745428040535,0.5362865689822034,38.33,27.006686209159398,30.0,24.0,43.0,0.267735190732,0.2369266941649628,0.28850000000000003,0.002599999999999991,0.45899999999999996,0.2442318976518725,0.14978790863567973,30.87272727272727,5.954538514916147
2,100,1.0,0.2,0.75,0.75,0.0,1000000,0.05;0.5;0.95,4.44045726539563,2.1142184580484145,4.083452496558495,2.9412019135113625,5.128226706542355,4.0604281903990485,0.6598222752318451,0.4969628046000001,0.028287236029575863,0.49571400000000004,0.47599,0.5168216,0.5011414999999999,0.13281468801585916,0.49685,0.40845,0.6064,0.2488611607987065,0.026740088201843617,0.25431621210250643,0.2349333905082335,0.2687620599920146,0.0022,0.006569627082262736,0.0,0.0,0.0,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.021,0.07108445681019164,0.0,0.0,0.02,0.0052,0.013151425778218878,0.0,0.0,0.0,0.4670612699434545,0.10769936138465026,0.4790244412692118,0.4205000079163834,0.5407642738648601,28.49,10.165131578095776,26.0,22.5,31.0,0.26397536164399993,0.2358194813563197,0.2722,0.0029000000000000137,0.4602999999999999,0.2358073285282992,0.14916139666524236,26.73076923076923,2.6465898567444266
3,100,1.0,0.2,1.0,1.0,0.0,1000000,0.05;0.5;0.95,3.9748554655251733,1.6731210512634345,3.598584910546871,2.757134951379556,4.861587737359872,3.735935211607879,0.6598184207619753,0.4970470638,0.033590913482063424,0.49594473,0.4706525,0.5166012,0.5141955,0.14886801958362314,0.49925,0.4113,0.625325,0.25197607148030604,0.026666792482853544,0.25928718876482315,0.2394889160429755,0.269653168868491,0.0071,0.014986327101728432,0.0,0.0,0.0,0.0013,0.005225897052181567,0.0,0.0,0.0,0.0088,0.01767936650448765,0.0,0.0,0.0,0.0089,0.016241613220366997,0.0,0.0,0.015,0.461184257566822,0.09448599996759413,0.4782105706244741,0.4129537722638725,0.5276947362606814,31.42,12.480528834949265,28.0,24.0,36.5,0.26478237825599993,0.24144649304771496,0.26926,0.003000000000000003,0.4693,0.2315050884845295,0.15261022407392458,27.73584905660377,3.115093768213609
4,100,1.0,0.2,1.25,1.25,0.0,1000000,0.05;0.5;0.95,4.187479206965299,1.6260573620867889,3.886561349363346,3.1467839036755385,4.904242265721463,3.9712124800811366,0.456113209558365,0.5049008602,0.02601463528537666,0.5040865,0.4907254,0.5233332599999999,0.5368935,0.12279529218479834,0.5315749999999999,0.466775,0.629875,0.25404155676016354,0.024342834564004386,0.2575463106878441,0.2408124465684596,0.2728512081346193,0.0083,0.015036954478883015,0.0,0.0,0.02,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.0193,0.0771136174744772,0.0,0.0,0.02,0.008600000000000002,0.017607952748687167,0.0,0.0,0.01,0.4820333172448416,0.08101309502901655,0.4873180509286138,0.4411629632780811,0.5412389773902384,39.42,16.09980124100916,35.0,26.5,49.5,0.2714234399919999,0.2378837710613841,0.278,0.004700000000000038,0.4668,0.2469060443535829,0.14706829468473714,35.46,5.872682521642048
5,100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.5;0.95,4.301554417040578,1.9063908020730438,3.9952114924181963,2.7625734485860662,5.17906531147344,4.0058538463402416,0.6781928432783378,0.5002393038000001,0.021499093267731948,0.5019281499999999,0.4879600000000001,0.5125788,0.4883225000000001,0.12523300850314986,0.4949,0.4328,0.563975,0.2543757595030889,0.02490916652446155,0.2568382304492376,0.2388387498331463,0.2716764157540863,0.0046,0.011867602959317438,0.0,0.0,0.0,0.0015,0.005545268253204708,0.0,0.0,0.0,0.0141,0.036141250670113784,0.0,0.0,0.02,0.0068000000000000005,0.014062716664997556,0.0,0.0,0.0,0.4792668099425622,0.09447245270340572,0.4941073921400501,0.4297872160995302,0.5407754109367462,47.33,20.448498722400135,41.0,32.5,57.0,0.2700178219639999,0.24030264880198665,0.2755,0.004499999999999949,0.4673,0.24293915555342505,0.15108569655260487,42.76470588235294,7.389946098914888
6,100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.4169300117395816,0.42435757050024775,1.1518085835821663,1.0,1.9076688286913392,1.2518950853556612,0.33943911023394474,0.4980373431,0.02957521512219385,0.496058,0.4816275,0.5160295000000001,0.49454750000000003,0.1351685624276222,0.4962,0.4351,0.5654,0.12260843889869995,0.1005674834089464,0.11962693658458587,0.00046076469456789523,0.2203981666638276,0.0011,0.007732399368889324,0.0,0.0,0.0,0.0001,0.0009949874371066195,0.0,0.0,0.0,0.1634,0.36229330659011627,0.0,0.0,0.0,0.0003,0.0022158519806160337,0.0,0.0,0.0,0.08734021956398512,0.06795784549016147,0.10949847438755568,0.012160578674212792,0.14837994818372885,35.81,34.72425521159525,24.5,20.0,32.0,0.10704083778200003,0.19706738711338675,0.00030000000000002247,0.0,0.0010000000000000009,0.00023096698848956595,0.00031154370980070965,25.09433962264151,3.5462664445832632
7,100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.9043864764640488,0.9819427523136488,1.6737437313745236,1.0731880384826642,2.2797386924856946,1.6497273809035982,0.38274124909577817,0.497114638,0.03054238138087396,0.4915245,0.474859,0.5199719999999999,0.49977299999999997,0.13160988781622754,0.48645,0.3944,0.61755,0.1515328494432718,0.08872029259415187,0.181806379253785,0.0767610591384277,0.22547923651424065,0.0013999999999999998,0.005295280917949491,0.0,0.0,0.0,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.06319999999999999,0.2352057822418488,0.0,0.0,0.0,0.0015000000000000002,0.0057227615711298,0.0,0.0,0.0,0.2262514408662856,0.14807607427305378,0.2370004812544274,0.09802215161401084,0.3479877860863745,31.49,17.883788748472732,25.0,20.0,36.5,0.13492761301999995,0.20847428810647967,0.0019000000000000128,0.0006999999999999784,0.3833,0.03196249438264148,0.08790548819237214,24.9344262295082,4.482639929367648
8,100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.8908427975333664,1.0172027542564903,1.5096619733743395,1.0,2.4474657408705216,1.4051172476477556,0.4887458754388918,0.5025973220000001,0.03206564681571411,0.5072059,0.47363249999999996,0.5244615,0.5020735,0.14189860190555084,0.50175,0.4101,0.6101,0.14154635286444064,0.1002824364898134,0.17663719826498533,0.00264554007184644,0.23345724678639745,0.0023,0.0077272245987805984,0.0,0.0,0.0,0.0003,0.0022158519806160337,0.0,0.0,0.0,0.1197,0.2961535243754495,0.0,0.0,0.0,0.0013,0.0064272855856885676,0.0,0.0,0.0,0.2268977308551409,0.152218631826821,0.2073720426581896,0.09334224054367136,0.3627670363071114,33.56,15.136921747832348,29.0,22.0,42.5,0.12897949607999998,0.2086819679465997,0.002400000000000069,0.0010000000000000009,0.3579,0.017954583951923685,0.05458195910999857,29.018867924528305,5.523502327662055
9,100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.7103221434713256,0.9584286521954278,1.1916711718457358,1.0201999591920017,2.2630973880609244,1.3438543572467754,0.3549493817702394,0.50216258,0.02763113826634364,0.5023979999999999,0.4842451000000001,0.5205625,0.5156915,0.11385287612858094,0.5119500000000001,0.4706,0.5932999999999999,0.1211711157782604,0.09819678410753184,0.09738675317584657,0.0036521414875020533,0.22198314495458776,0.0015000000000000002,0.00804673846971554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1444,0.3182210552430496,0.0,0.0,0.0,0.0021,0.006970652767137379,0.0,0.0,0.0,0.2169723795651991,0.14987592923327026,0.17800406766682778,0.11311705397341774,0.3499175521365885,48.05,20.05361563409452,45.5,33.0,59.5,0.10610789164000006,0.1933680706521468,0.0029000000000000137,0.0010000000000000009,0.043299999999999984,0.003752098311516682,0.004698549637158088,44.58490566037736,8.612045014438944
